OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,SHAPE_Length,SHAPE_Area
10226,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN,1,,2004/12/20 00:00:00+00,379.89969772208,379.90891,,,,6907.16239723181,2684764.82460176
10227,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN,1,,2004/12/20 00:00:00+00,1082.96969661962,1082.9937,,,,25082.8160288824,7650847.6460765
10228,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN,1,,2004/12/20 00:00:00+00,408.824352690042,408.83347,,,,11400.7836502003,2888206.5957062
10229,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN,1,,2004/12/20 00:00:00+00,380.714683014079,380.72339,,,,14663.5694290151,2688946.96090436
10230,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN,1,,2004/12/20 00:00:00+00,987.173740969498,987.19647,,,,16849.9506881905,6972948.66595046
10231,2004,CA,USF,SRF,0000000003106838,02HENHAWK 1,1,,2004/10/17 00:00:00+00,63.5897275975543,63.590328,,,,5072.89467343103,450537.519019354
10232,2005,CA,USF,INF,000000003257172,CABOOSE,1,2005/07/26 00:00:00+00,2005/07/26 00:00:00+00,183.545697862593,183.54889,,,,6777.5253368882,1194328.39587417
10233,2005,CA,USF,INF,0000000003202451,SEVEN PINES,1,2005/06/20 00:00:00+00,2005/06/20 00:00:00+00,35.0657784782885,35.064285,,,,2845.9711877831,221596.244933187
10234,2005,CA,USF,INF,0000000003226555,CASA DIABLO,1,2005/05/01 00:00:00+00,2005/05/01 00:00:00+00,1101.44396974628,1101.4819,,,,26912.142246414,7111114.23672835
10235,2005,CA,USF,INF,0000000003251331,COMET,1,2005/04/27 00:00:00+00,2005/04/27 00:00:00+00,110.46386576265,110.46564,,,,8978.31995796145,715697.416659139
10236,2005,CA,USF,INF,0000000003228044,LONE PINE ADDITION,1,2005/03/30 00:00:00+00,2005/03/30 00:00:00+00,75.2714068532886,75.271843,,,,3321.5765621318,473417.652971109
10237,2005,CA,USF,MNF,000000003221218,LITTLE STONY,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,175.799269721521,175.79707,,,,5018.32418261679,1187542.37761131
10238,2005,CA,USF,MNF,0000000003235886,OAK RIDGE,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,292.73579544236,292.73953,,,,8342.34680924475,2009436.76236674
10239,2005,CA,USF,STF,0000000003225208,IRISH,4,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,230.88182638215,230.88446,,,,7690.82232590922,1515727.79972581
10240,2005,CA,USF,MNF,0000000003221212,GRINDSTONE TYPE CONVERSION,1,2005/01/30 00:00:00+00,2005/01/30 00:00:00+00,41.3704287270636,41.369522,,,,4954.84535122845,282871.550242144
10241,2005,CA,USF,MNF,0000000003221212,GRINDSTONE TYPE CONVERSION,1,2005/01/30 00:00:00+00,2005/01/30 00:00:00+00,42.991692565154,42.99128,,,,4081.4203036376,293950.588866777
10242,2005,CA,USF,MNF,0000000003221212,GRINDSTONE TYPE CONVERSION,1,2005/01/30 00:00:00+00,2005/01/30 00:00:00+00,29.0780200469068,29.078392,,,,2409.11796425492,199019.090831421
10243,2005,CA,USF,MNF,0000000003221212,GRINDSTONE TYPE CONVERSION,1,2005/01/30 00:00:00+00,2005/01/30 00:00:00+00,59.2853696989491,59.285961,,,,5712.79169535301,405892.382146354
10244,2004,CA,USF,PNF,0000000003237409,LAST CHANCE,1,2004/10/02 00:00:00+00,2004/10/02 00:00:00+00,34.9373891181968,34.93816,,,,3082.82269466702,242241.443456059
