PLOT,Fire_Year,SPECIES,MORT_DATE,DBH,CVS,FIRE_MORT_0_to_3_yr,POST_FIRE_BEETLE_MORT_5yr,N.neighbors.15m,N.neighbors.5m,N.conspecific.neighbors.15m,N.conspecific.neighbors.5m,Nearest.neighbor,HEGYI,BA.conspecifics.5m,BA.conspecifics.15m,BA.3m,BA.5m,BA.8m,BA.11m,BA.15m,BA.20m
CRCRPIPO,2009,ABCO,2010,1.3,100,1,NA,125,23,36,4,0.42,248.0909572,0.083,1.268,0.134,0.793,1.326,1.837,5.066,12.126
CRCRPIPO,2009,CADE,2010,1.1,100,1,NA,133,18,29,0,0.25,237.7863708,0,0.767,0.012,0.155,0.653,2.052,4.199,8.25
CRCRPIPO,2009,CADE,2010,1.3,100,1,NA,94,14,26,5,2.67,144.7553698,0.008,0.183,0.327,1.158,1.2,2.86,3.823,6.559
CRCRPIPO,2009,ABCO,2010,1.8,100,1,NA,131,11,99,9,1.96,218.6541514,0.183,2.434,0.153,0.936,2.36,5.41,8.006,12.404
CRCRPIPO,2009,ABCO,2010,3.2,100,1,NA,128,13,81,8,1.88,109.0518189,0.102,1.95,0.164,1.996,3.249,6.486,9.005,13.858
CRCRPIPO,2009,ABCO,2010,2.5,100,1,NA,95,10,83,10,1.72,181.3985263,0.3,2.209,0.08,0.3,1.331,3.763,6.359,13.461
CRCRPIPO,2009,ABCO,2010,1.2,100,1,NA,107,9,91,9,1.27,313.1672907,0.289,2.566,0.154,0.289,1.3,2.413,8.493,14.24
CRCRPIPO,2009,ABCO,2010,2.8,100,1,NA,261,31,152,17,0.28,126.5507845,0.027,1.358,0.31,0.708,1.227,2.316,5.419,9.534
CRCRPIPO,2009,PINUS,2010,4.2,100,1,NA,186,21,70,11,0.5,75.66318337,0.054,1.096,0.034,0.502,1.557,2.017,5.037,7.81
CRCRPIPO,2009,PINUS,2010,2.7,100,1,NA,194,22,76,12,0.5,118.4925524,0.044,1.326,0.169,0.492,1.612,2.02,5.29,7.781
CRCRPIPO,2009,ABCO,2010,7.8,100,1,NA,132,9,49,4,0.62,35.45414204,0.004,1.031,0.111,0.278,0.765,2.021,4.164,8.595
CRCRPIPO,2009,PINUS,2010,4.7,100,1,NA,137,10,59,1,0.62,63.26919317,0.052,1.518,0.114,0.285,0.764,2.198,4.298,8.312
CRCRPIPO,2009,CADE,2010,12.7,100,1,NA,75,15,51,9,1.54,34.17071612,0.322,1.619,0.35,1.627,2.099,3.708,8.756,12.993
